V_DS	Id(M1)
Step Information: V_GS=0  (Step: 1/41)
5.600000000000001e+00	1.870510e-11
5.800000000000001e+00	1.890494e-11
6.000000000000000e+00	1.910478e-11
6.200000000000000e+00	1.930521e-11
6.400000000000000e+00	1.950505e-11
6.600000000000001e+00	1.970489e-11
6.800000000000001e+00	1.990503e-11
7.000000000000000e+00	2.010516e-11
7.200000000000000e+00	2.030500e-11
7.400000000000000e+00	2.050484e-11
7.600000000000001e+00	2.070498e-11
7.800000000000001e+00	2.090482e-11
8.000000000000000e+00	2.110496e-11
8.200000000000001e+00	2.130509e-11
8.400000000000000e+00	2.150523e-11
8.600000000000000e+00	2.170477e-11
8.800000000000001e+00	2.190491e-11
9.000000000000000e+00	2.210445e-11
9.200000000000001e+00	2.230459e-11
9.400000000000000e+00	2.250473e-11
9.600000000000001e+00	2.270486e-11
9.800000000000001e+00	2.290500e-11
1.000000000000000e+01	2.310514e-11
Step Information: V_GS=800m  (Step: 5/41)
0.000000000000000e+00	-4.960243e-38
2.000000000000000e-01	5.654790e-10
4.000000000000000e-01	5.656862e-10
6.000000000000001e-01	5.658869e-10
8.000000000000000e-01	5.660870e-10
1.000000000000000e+00	5.662871e-10
1.200000000000000e+00	5.664871e-10
1.400000000000000e+00	5.666871e-10
1.600000000000000e+00	5.668872e-10
1.800000000000000e+00	5.670872e-10
2.000000000000000e+00	5.672872e-10
2.200000000000000e+00	5.674872e-10
2.400000000000000e+00	5.676872e-10
2.600000000000000e+00	5.678870e-10
2.800000000000000e+00	5.680870e-10
3.000000000000000e+00	5.682870e-10
3.200000000000000e+00	5.684870e-10
3.400000000000000e+00	5.686871e-10
3.600000000000000e+00	5.688869e-10
3.800000000000000e+00	5.690871e-10
4.000000000000000e+00	5.692869e-10
4.200000000000000e+00	5.694869e-10
4.400000000000000e+00	5.696867e-10
4.600000000000001e+00	5.698869e-10
4.800000000000001e+00	5.700870e-10
5.000000000000000e+00	5.702869e-10
5.200000000000000e+00	5.704867e-10
5.400000000000000e+00	5.706868e-10
5.600000000000001e+00	5.708869e-10
5.800000000000001e+00	5.710868e-10
6.000000000000000e+00	5.712866e-10
6.200000000000000e+00	5.714871e-10
6.400000000000000e+00	5.716869e-10
6.600000000000001e+00	5.718868e-10
6.800000000000001e+00	5.720869e-10
7.000000000000000e+00	5.722871e-10
7.200000000000000e+00	5.724869e-10
7.400000000000000e+00	5.726867e-10
7.600000000000001e+00	5.728868e-10
7.800000000000001e+00	5.730867e-10
8.000000000000000e+00	5.732868e-10
8.200000000000001e+00	5.734870e-10
8.400000000000000e+00	5.736871e-10
8.600000000000000e+00	5.738867e-10
8.800000000000001e+00	5.740868e-10
9.000000000000000e+00	5.742863e-10
9.200000000000001e+00	5.744865e-10
9.400000000000000e+00	5.746866e-10
9.600000000000001e+00	5.748867e-10
9.800000000000001e+00	5.750869e-10
1.000000000000000e+01	5.752870e-10
Step Information: V_GS=1  (Step: 6/41)
0.000000000000000e+00	-1.527339e-28
2.000000000000000e-01	3.064804e-08
4.000000000000000e-01	3.064825e-08
6.000000000000001e-01	3.064845e-08
8.000000000000000e-01	3.064865e-08
1.000000000000000e+00	3.064885e-08
1.200000000000000e+00	3.064905e-08
1.400000000000000e+00	3.064925e-08
1.600000000000000e+00	3.064945e-08
