V_GS,V_DS,I_DS
1.6,10.0,0.002264474
1.8,0.0,-1.527339e-28
1.8,0.2,0.0160845
1.8,0.4,0.01727172
1.8,0.6000000000000001,0.01727218
1.8,0.8,0.0172717
1.8,1.0,0.0172717
1.8,1.2,0.0172717
1.8,1.4,0.0172717
1.8,1.6,0.0172717
1.8,1.8,0.0172717
1.8,2.0,0.0172717
1.8,2.2,0.0172717
1.8,2.4,0.0172717
1.8,2.6,0.0172717
1.8,2.8,0.0172717
1.8,3.0,0.0172717
1.8,3.2,0.0172717
1.8,3.4,0.0172717
1.8,3.6,0.0172717
1.8,3.8,0.0172717
1.8,4.0,0.0172717
1.8,4.2,0.0172717
1.8,4.4,0.0172717
1.8,4.600000000000001,0.0172717
1.8,4.800000000000001,0.0172717
1.8,5.0,0.0172717
1.8,5.2,0.0172717
1.8,5.4,0.0172717
1.8,5.600000000000001,0.0172717
1.8,5.800000000000001,0.0172717
1.8,6.0,0.0172717
1.8,6.2,0.0172717
1.8,6.4,0.0172717
1.8,6.600000000000001,0.0172717
1.8,6.800000000000001,0.0172717
1.8,7.0,0.0172717
1.8,7.2,0.0172717
1.8,7.4,0.0172717
1.8,7.600000000000001,0.0172717
1.8,7.800000000000001,0.0172717
1.8,8.0,0.0172717
1.8,8.200000000000001,0.0172717
1.8,8.4,0.0172717
1.8,8.6,0.0172717
1.8,8.8,0.0172717
1.8,9.0,0.0172717
1.8,9.200000000000001,0.0172717
1.8,9.4,0.0172717
1.8,9.600000000000001,0.0172717
1.8,9.8,0.0172717
1.8,10.0,0.0172717
2.0,0.0,-1.527339e-28
2.0,0.2,0.02696474
2.0,0.4,0.04549009
2.0,0.6000000000000001,0.04962763
2.0,0.8,0.04963789
2.0,1.0,0.0496276
2.0,1.2,0.04962759
2.0,1.4,0.04962759
2.0,1.6,0.04962759
2.0,1.8,0.04962759
2.0,2.0,0.04962759
2.0,2.2,0.04962759
2.0,2.4,0.04962759
2.0,2.6,0.04962759
2.0,2.8,0.04962759
2.0,3.0,0.04962759
2.0,3.2,0.04962759
2.0,3.4,0.04962759
2.0,3.6,0.04962759
2.0,3.8,0.04962759
2.0,4.0,0.04962759
2.0,4.2,0.04962759
2.0,4.4,0.04962759
2.0,4.600000000000001,0.04962759
2.0,4.800000000000001,0.04962759
2.0,5.0,0.04962759
2.0,5.2,0.04962759
2.0,5.4,0.04962759
2.0,5.600000000000001,0.04962759
2.0,5.800000000000001,0.04962759
2.0,6.0,0.04962759
2.0,6.2,0.04962759
2.0,6.4,0.04962759
2.0,6.600000000000001,0.04962759
2.0,6.800000000000001,0.04962759
2.0,7.0,0.04962759
2.0,7.2,0.04962759
2.0,7.4,0.04962759
2.0,7.600000000000001,0.04962759
2.0,7.800000000000001,0.04962759
2.0,8.0,0.04962759
2.0,8.200000000000001,0.04962759
2.0,8.4,0.04962759
2.0,8.6,0.04962759
2.0,8.8,0.04962759
2.0,9.0,0.04962759
2.0,9.200000000000001,0.04962759
2.0,9.4,0.04962759
2.0,9.600000000000001,0.04962759
2.0,9.8,0.04962759
2.0,10.0,0.04962759
2.2,0.0,-1.527339e-28
2.2,0.2,0.0324648
2.2,0.4,0.06071215
2.2,0.6000000000000001,0.08251333
2.2,0.8,0.09339008
2.2,1.0,0.09364439
2.2,1.2,0.09364439
2.2,1.4,0.09364438
2.2,1.6,0.09364438
2.2,1.8,0.09364438
2.2,2.0,0.09364438
2.2,2.2,0.09364438
2.2,2.4,0.09364438
2.2,2.6,0.09364438
2.2,2.8,0.09364438
2.2,3.0,0.09364438
2.2,3.2,0.09364438
2.2,3.4,0.09364438
2.2,3.6,0.09364438
2.2,3.8,0.09364438
2.2,4.0,0.09364438
2.2,4.2,0.09364438
2.2,4.4,0.09364438
2.2,4.600000000000001,0.09364438
2.2,4.800000000000001,0.09364438
2.2,5.0,0.09364438
2.2,5.2,0.09364438
2.2,5.4,0.09364438
2.2,5.600000000000001,0.09364438
2.2,5.800000000000001,0.09364438
2.2,6.0,0.09364438
2.2,6.2,0.09364438
2.2,6.4,0.09364438
2.2,6.600000000000001,0.09364438
2.2,6.800000000000001,0.09364438
2.2,7.0,0.09364438
2.2,7.2,0.09364438
2.2,7.4,0.09364438
2.2,7.600000000000001,0.09364438
2.2,7.800000000000001,0.09364438
2.2,8.0,0.09364438
2.2,8.200000000000001,0.09364438
2.2,8.4,0.09364438
2.2,8.6,0.09364438
2.2,8.8,0.09364438
2.2,9.0,0.09364438
2.2,9.200000000000001,0.09364438
2.2,9.4,0.09364438
2.2,9.600000000000001,0.09364438
2.2,9.8,0.09364438
2.2,10.0,0.09364438
2.4,0.0,-1.527339e-28
2.4,0.2,0.03566911
2.4,0.4,0.0688303
2.4,0.6000000000000001,0.09855029
